Kommune;ikke_vestligt_indbyggertal;Mænd;Kvinder
København;80725;39535;41190
Frederiksberg;8654;3884;4770
Dragør;565;259;306
Tårnby;3768;1761;2007
Albertslund;5590;2840;2750
Ballerup;7282;3567;3715
Brøndby;9277;4616;4661
Gentofte;6303;2667;3636
Gladsaxe;10566;5225;5341
Glostrup;4426;2221;2205
Herlev;5126;2541;2585
Hvidovre;6588;3162;3426
Høje-Taastrup;12175;6207;5968
Ishøj;6200;3110;3090
Lyngby-Taarbæk;5582;2629;2953
Rødovre;6888;3416;3472
Vallensbæk;3588;1799;1789
Allerød;1503;672;831
Egedal;2835;1355;1480
Fredensborg;3978;1854;2124
Frederikssund;2602;1203;1399
Furesø;3521;1680;1841
Gribskov;1802;787;1015
Halsnæs;1890;868;1022
Helsingør;4284;2026;2258
Hillerød;4287;2053;2234
Hørsholm;1710;709;1001
Rudersdal;4092;1838;2254
Bornholm;1444;672;772
Christiansø;2;1;1
Greve;5335;2574;2761
Køge;4598;2327;2271
Lejre;1228;574;654
Roskilde;5602;2702;2900
Solrød;1375;669;706
Faxe;1701;835;866
Guldborgsund;2909;1381;1528
Holbæk;4227;2031;2196
Kalundborg;2889;1503;1386
Lolland;2252;1094;1158
Næstved;4923;2297;2626
Odsherred;1176;542;634
Ringsted;2967;1441;1526
Slagelse;5870;2874;2996
Sorø;1214;562;652
Stevns;994;452;542
Vordingborg;1921;931;990
Assens;1418;661;757
Faaborg-Midtfyn;1931;857;1074
Kerteminde;1213;604;609
Langeland;433;204;229
Middelfart;1684;788;896
Nordfyns;1236;605;631
Nyborg;1718;805;913
Odense;19377;9535;9842
Svendborg;2734;1235;1499
Ærø;179;73;106
Billund;2213;1124;1089
Esbjerg;7123;3396;3727
Fanø;81;35;46
Fredericia;3899;1873;2026
Haderslev;3204;1538;1666
Kolding;7950;3900;4050
Sønderborg;5400;2683;2717
Tønder;1931;972;959
Varde;2307;1157;1150
Vejen;2461;1274;1187
Vejle;9617;4779;4838
Aabenraa;3276;1624;1652
Favrskov;2086;954;1132
Hedensted;1922;889;1033
Horsens;7686;3789;3897
Norddjurs;1619;715;904
Odder;1014;467;547
Randers;5593;2618;2975
Samsø;101;37;64
Silkeborg;4733;2172;2561
Skanderborg;2633;1206;1427
Syddjurs;1567;711;856
Aarhus;33677;16458;17219
Herning;5976;2894;3082
Holstebro;3165;1526;1639
Ikast-Brande;3478;1889;1589
Lemvig;801;361;440
Ringkøbing-Skjern;2979;1463;1516
Skive;1981;932;1049
Struer;1050;487;563
Viborg;5033;2411;2622
Brønderslev;1617;827;790
Frederikshavn;2303;1075;1228
Hjørring;2845;1369;1476
Jammerbugt;1299;595;704
Læsø;25;7;18
Mariagerfjord;2039;1014;1025
Morsø;740;350;390
Rebild;1094;518;576
Thisted;1857;887;970
Vesthimmerlands;1808;876;932
Aalborg;14269;6930;7339
