Kommune;indbyggertal;Mænd;Kvinder
København;671714;330306;341408
Frederiksberg;106150;50146;56004
Dragør;14474;7085;7389
Tårnby;44214;21897;22317
Albertslund;29262;14497;14765
Ballerup;53950;26476;27474
Brøndby;40990;20449;20541
Gentofte;75106;35946;39160
Gladsaxe;71185;35444;35741
Glostrup;25834;12943;12891
Herlev;32030;15830;16200
Hvidovre;54228;26800;27428
Høje-Taastrup;60458;30545;29913
Ishøj;24685;12363;12322
Lyngby-Taarbæk;58614;29075;29539
Rødovre;45138;22263;22875
Vallensbæk;18689;9413;9276
Allerød;26496;12957;13539
Egedal;46240;22894;23346
Fredensborg;42445;20554;21891
Frederikssund;47450;23511;23939
Furesø;42874;20917;21957
Gribskov;41787;20671;21116
Halsnæs;31738;15841;15897
Helsingør;64244;31099;33145
Hillerød;55182;27195;27987
Hørsholm;25354;11973;13381
Rudersdal;57912;28341;29571
Bornholm;38677;19130;19547
Christiansø;92;43;49
Greve;54120;26621;27499
Køge;63962;31784;32178
Lejre;29879;14881;14998
Roskilde;92697;45269;47428
Solrød;25040;12409;12631
Faxe;38143;19448;18695
Guldborgsund;59119;29473;29646
Holbæk;75009;37140;37869
Kalundborg;47954;24310;23644
Lolland;38533;19673;18860
Næstved;85163;42341;42822
Odsherred;31988;15957;16031
Ringsted;36010;18137;17873
Slagelse;80959;40347;40612
Sorø;30853;15376;15477
Stevns;23842;12017;11825
Vordingborg;44831;22335;22496
Assens;40369;20405;19964
Faaborg-Midtfyn;52328;26240;26088
Kerteminde;24299;12066;12233
Langeland;11841;6024;5817
Middelfart;40625;20230;20395
Nordfyns;29179;14796;14383
Nyborg;32401;16022;16379
Odense;213168;105348;107820
Svendborg;60027;29640;30387
Ærø;5766;2857;2909
Billund;27200;13834;13366
Esbjerg;114947;57616;57331
Fanø;3332;1577;1755
Fredericia;52939;26649;26290
Haderslev;55218;27777;27441
Kolding;96214;48006;48208
Sønderborg;74123;37361;36762
Tønder;36174;18139;18035
Varde;49468;25151;24317
Vejen;42641;21789;20852
Vejle;123250;61859;61391
Aabenraa;58405;29296;29109
Favrskov;49773;25000;24773
Hedensted;48578;24924;23654
Horsens;98806;49751;49055
Norddjurs;36477;18470;18007
Odder;24310;11888;12422
Randers;100564;50154;50410
Samsø;3617;1793;1824
Silkeborg;102753;51098;51655
Skanderborg;66352;32892;33460
Syddjurs;44394;22185;22209
Aarhus;378361;185446;192915
Herning;90546;45526;45020
Holstebro;59324;29727;29597
Ikast-Brande;43305;22312;20993
Lemvig;18596;9411;9185
Ringkøbing-Skjern;55405;28140;27265
Skive;44104;22412;21692
Struer;20122;10064;10058
Viborg;97874;49175;48699
Brønderslev;36529;18578;17951
Frederikshavn;57523;29045;28478
Hjørring;62979;31550;31429
Jammerbugt;37998;19167;18831
Læsø;1683;831;852
Mariagerfjord;41541;21192;20349
Morsø;19344;9840;9504
Rebild;31280;15878;15402
Thisted;42572;21455;21117
Vesthimmerlands;35632;18041;17591
Aalborg;226033;113563;112470
