Parti; Kommune; DF_share
O. Dansk Folkeparti;Hele landet;9.1
O. Dansk Folkeparti;København;4.8
O. Dansk Folkeparti;Frederiksberg;4.4
O. Dansk Folkeparti;Dragør;9.7
O. Dansk Folkeparti;Tårnby;15.6
O. Dansk Folkeparti;Albertslund;12.4
O. Dansk Folkeparti;Ballerup;13.0
O. Dansk Folkeparti;Brøndby;16.3
O. Dansk Folkeparti;Gentofte;5.5
O. Dansk Folkeparti;Gladsaxe;9.2
O. Dansk Folkeparti;Glostrup;15.2
O. Dansk Folkeparti;Herlev;11.5
O. Dansk Folkeparti;Hvidovre;13.1
O. Dansk Folkeparti;Høje-Taastrup;13.9
O. Dansk Folkeparti;Ishøj;14.7
O. Dansk Folkeparti;Lyngby-Taarbæk;6.5
O. Dansk Folkeparti;Rødovre;12.5
O. Dansk Folkeparti;Vallensbæk;11.8
O. Dansk Folkeparti;Allerød;6.7
O. Dansk Folkeparti;Egedal;11.2
O. Dansk Folkeparti;Fredensborg;8.9
O. Dansk Folkeparti;Frederikssund;14.7
O. Dansk Folkeparti;Furesø;5.7
O. Dansk Folkeparti;Gribskov;13.9
O. Dansk Folkeparti;HalsnÊs;14.0
O. Dansk Folkeparti;Helsing¯r;9.8
O. Dansk Folkeparti;Hiller¯d;8.6
O. Dansk Folkeparti;Hørsholm;7.5
O. Dansk Folkeparti;Rudersdal;5.3
O. Dansk Folkeparti;Bornholm;10.5
O. Dansk Folkeparti;Christians¯;0.0
O. Dansk Folkeparti;Greve;14.8
O. Dansk Folkeparti;Køge;14.1
O. Dansk Folkeparti;Lejre;11.6
O. Dansk Folkeparti;Roskilde;9.6
O. Dansk Folkeparti;Solrød;13.3
O. Dansk Folkeparti;Faxe;18.7
O. Dansk Folkeparti;Guldborgsund;14.6
O. Dansk Folkeparti;Holbæk;13.2
O. Dansk Folkeparti;Kalundborg;17.6
O. Dansk Folkeparti;Lolland;15.4
O. Dansk Folkeparti;Næstved;14.5
O. Dansk Folkeparti;Odsherred;16.0
O. Dansk Folkeparti;Ringsted;13.9
O. Dansk Folkeparti;Slagelse;16.7
O. Dansk Folkeparti;Sorø;14.5
O. Dansk Folkeparti;Stevns;16.6
O. Dansk Folkeparti;Vordingborg;13.0
O. Dansk Folkeparti;Assens;9.9
O. Dansk Folkeparti;Faaborg-Midtfyn;10.2
O. Dansk Folkeparti;Kerteminde;9.8
O. Dansk Folkeparti;Langeland;9.4
O. Dansk Folkeparti;Middelfart;8.3
O. Dansk Folkeparti;Nordfyns;10.5
O. Dansk Folkeparti;Nyborg;10.1
O. Dansk Folkeparti;Odense;7.7
O. Dansk Folkeparti;Svendborg;7.5
O. Dansk Folkeparti;Ærø;7.4
O. Dansk Folkeparti;Billund;9.9
O. Dansk Folkeparti;Esbjerg;11.0
O. Dansk Folkeparti;Fan¯;5.9
O. Dansk Folkeparti;Fredericia;11.9
O. Dansk Folkeparti;Haderslev;14.8
O. Dansk Folkeparti;Kolding;10.9
O. Dansk Folkeparti;Sønderborg;12.2
O. Dansk Folkeparti;Tønder;12.8
O. Dansk Folkeparti;Varde;9.7
O. Dansk Folkeparti;Vejen;11.8
O. Dansk Folkeparti;Vejle;9.4
O. Dansk Folkeparti;Aabenraa;13.5
O. Dansk Folkeparti;Favrskov;7.7
O. Dansk Folkeparti;Hedensted;9.5
O. Dansk Folkeparti;Horsens;9.0
O. Dansk Folkeparti;Norddjurs;9.9
O. Dansk Folkeparti;Odder;6.5
O. Dansk Folkeparti;Randers;10.2
O. Dansk Folkeparti;Samsø;5.4
O. Dansk Folkeparti;Silkeborg;7.0
O. Dansk Folkeparti;Skanderborg;5.6
O. Dansk Folkeparti;Syddjurs;7.6
O. Dansk Folkeparti;Aarhus;4.5
O. Dansk Folkeparti;Herning;7.6
O. Dansk Folkeparti;Holstebro;8.4
O. Dansk Folkeparti;Ikast-Brande;11.1
O. Dansk Folkeparti;Lemvig;6.2
O. Dansk Folkeparti;Ringkøbing-Skjern;6.1
O. Dansk Folkeparti;Skive;7.1
O. Dansk Folkeparti;Struer;7.7
O. Dansk Folkeparti;Viborg;7.1
O. Dansk Folkeparti;Brønderslev;7.8
O. Dansk Folkeparti;Frederikshavn;9.1
O. Dansk Folkeparti;Hjørring;7.2
O. Dansk Folkeparti;Jammerbugt;7.8
O. Dansk Folkeparti;Læsø;13.4
O. Dansk Folkeparti;Mariagerfjord;6.6
O. Dansk Folkeparti;Mors¯;6.4
O. Dansk Folkeparti;Rebild;5.5
O. Dansk Folkeparti;Thisted;5.8
O. Dansk Folkeparti;Vesthimmerlands;6.9
O. Dansk Folkeparti;Aalborg;6.3
